date,frequency,agriculture_foresty_and_fishing,construction,electricity_gas_and_water,finance_insurance_real_estate_and_business_services,government_and_other_services,manufacturing,mining_and_quarrying,transport_storage_and_communications,wholesale_retail_trade_hotels_and_restaurants,total_new_issues
2013-05-01,Monthly,0.0,0.0,1625.0,1074.0,710.0,500.0,0.0,0.0,0.0,3909.0
2013-06-01,Monthly,600.0,200.0,400.0,1911.5,39.0,0.0,0.0,650.0,54.58145,3855.08145
2013-07-01,Monthly,35.0,0.0,2350.0,1678.68305,970.0,0.0,0.0,0.0,0.0,5033.68305
2013-08-01,Monthly,0.0,500.0,500.0,2716.0,100.0,70.0,0.0,0.0,0.0,3886.0
2013-09-01,Monthly,20.0,0.0,144.1374,3855.0,279.999999,170.0,0.0,0.0,0.0,4469.137398999999
2013-10-01,Monthly,0.0,663.0,500.0,8078.0,299.002,0.0,0.0,200.0,0.0,9740.002
2013-11-01,Monthly,20.0,450.0,0.0,4046.8283,1075.0684999999999,0.0,0.0,0.0,54.68705,5646.583850000001
2013-12-01,Monthly,0.0,3625.532641,0.0,9747.267910229999,18.0,193.2171,0.0,7073.275531650001,0.0,20657.29318288
2014-01-01,Annual,465.0,13366.33674634,5332.91958,50391.14895,11094.07540235,2144.4982,12.0,2229.32737719,466.5,85501.80625587999
2014-01-01,Monthly,0.0,5211.2065,0.0,2056.25,0.0,0.0,0.0,310.0,0.0,7577.4565
2014-02-01,Monthly,0.0,0.0,1200.0,1203.325,958.58540235,450.0,0.0,0.0,0.0,3811.91040235
2014-03-01,Monthly,8.000000000000002,400.0,0.0,4950.0,3500.0,0.0,0.0,300.0,0.0,9158.0
2014-04-01,Monthly,2.0,500.0,0.0,6563.5,0.0,0.0,0.0,250.0,10.0,7325.5
2014-05-01,Monthly,0.0,3470.0,0.0,1686.25,0.0,0.0,0.0,0.0,0.0,5156.25
2014-06-01,Monthly,20.0,969.6265,600.0,3777.9,21.6,0.0,12.0,630.0,0.0,6031.1265
2014-07-01,Monthly,2.0,223.0,1962.91958,6253.73,50.0,0.0,0.0,0.0,456.5,8948.14958
2014-08-01,Monthly,6.000000000000001,0.0,0.0,1284.75,2820.0,0.0,0.0,20.0,0.0,4130.75
2014-09-01,Monthly,2.0,0.0,0.0,9958.741149999998,1700.0,0.0,0.0,119.32737718999999,0.0,11780.068527189998
2014-10-01,Monthly,422.5,1485.0,1000.0,819.5,28.89,0.0,0.0,300.0,0.0,4055.89
2014-11-01,Monthly,2.5,117.42178999999997,570.0,5562.0,0.0,979.4982,0.0,0.0,0.0,7231.41999
2014-12-01,Monthly,0.0,990.0819563399998,0.0,6275.2028,2015.0,715.0,0.0,300.0,0.0,10295.28475634
2015-01-01,Annual,1264.75,4180.534443,13659.5,55606.04642167,6359.112999999999,1515.2892200000001,0.0,2850.2383,203.54185,85639.01323467
2015-01-01,Monthly,2.5,0.0,0.0,1962.0,0.0,0.0,0.0,0.0,0.0,1964.5
2015-02-01,Monthly,52.5,0.0,0.0,373.0,710.0,130.0,0.0,0.0,0.0,1265.5
2015-03-01,Monthly,20.0,300.0,0.0,7788.737999999999,0.0,0.0,0.0,0.0,100.0,8208.738
2015-04-01,Monthly,0.0,622.218357,130.0,7504.426,0.0,100.0,0.0,0.0,12.0,8368.644357000001
2015-05-01,Monthly,0.0,644.0,0.0,5680.0,2000.0,50.0,0.0,0.0,67.54185,8441.54185
2015-06-01,Monthly,0.0,228.0,600.0,1721.1610792000001,0.0,0.0,0.0,1140.0,10.0,3699.1610792
2015-07-01,Monthly,21.0,2.0,0.0,2565.0,0.0,0.0,0.0,0.0,0.0,2588.0
2015-08-01,Monthly,1132.0,1000.0,1500.0,2630.0,99.723,75.0,0.0,0.0,0.0,6436.723
2015-09-01,Monthly,2.25,0.0,2449.5,882.6959999999999,50.0,0.0,0.0,727.455,4.0,4115.901
2015-10-01,Monthly,21.0,0.0,0.0,8076.04821918,1500.0,0.0,0.0,0.0,0.0,9597.04821918
2015-11-01,Monthly,6.5,1200.0,0.0,5245.72712329,0.0,280.0,0.0,300.0,10.0,7042.22712329
2015-12-01,Monthly,7.0,184.316086,8980.0,11177.25,1999.3899999999996,880.28922,0.0,682.7833,0.0,23911.028606
2016-01-01,Annual,1248.1583722999999,7414.485241,10819.9,46323.06664046,10984.190999999999,1522.8393350000001,0.0,6835.0,150.2433,85297.88388876
2016-01-01,Monthly,29.0,1000.0,176.0,794.4,100.0,0.0,0.0,0.0,0.0,2099.4
2016-02-01,Monthly,2.5,0.0,1833.9,8815.960931509999,30.0,400.0,0.0,0.0,0.0,11082.360931509998
