date,frequency,bank,less_than_500k,500k_to_1m,1m_to_5m,more_than_5m,total_outstanding
2025-05-01,Monthly,Bank-bank Islam / Islamic banks,17554.916085060002,16296.193376489999,49477.88838784997,64079.32968319001,147408.32753258996
2025-05-01,Monthly,Bank-bank pelaburan / Investment banks,2.99109077,4.45281806,133.41599813000002,1480.8474204000001,1621.7073273600001
2025-05-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5734.202501089998,1905.1438525799997,4595.63669582,11854.26519037,24089.248239859997
2025-05-01,Monthly,Jumlah / Total,58837.02925088003,44092.10884645999,133080.61800849,184123.82212261003,420133.5782284399
2025-06-01,Monthly,Bank-bank perdagangan / Commercial banks,35454.32304319,25842.31122254999,79381.76571965004,109987.25341569002,250665.65340108002
2025-06-01,Monthly,Bank-bank Islam / Islamic banks,17559.64788034,16401.430806990007,50044.16067549996,66136.88291444001,150142.12227726998
2025-06-01,Monthly,Bank-bank pelaburan / Investment banks,2.92510868,4.423061460000001,141.14116347000004,1533.2315078300003,1681.7208414399997
2025-06-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5656.753245750002,1903.1904143299998,4611.896058269998,12001.341266489995,24173.180984839997
2025-06-01,Monthly,Jumlah / Total,58673.649277959994,44151.35550533,134178.96361689002,189658.70910444998,426662.6775046298
2025-07-01,Monthly,Bank-bank perdagangan / Commercial banks,35408.49964922,25725.808696570006,79235.33657135999,110885.92865566997,251255.57357281997
2025-07-01,Monthly,Bank-bank Islam / Islamic banks,17518.005928819995,16389.531218569995,50193.76584347999,66622.83505935,150724.13805021998
2025-07-01,Monthly,Bank-bank pelaburan / Investment banks,2.89541326,4.44235425,144.44952177,1539.5011673000001,1691.2884565800002
2025-07-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5610.585623359999,1885.2294151200006,4624.5552342,12112.9674496,24233.337722279997
2025-07-01,Monthly,Jumlah / Total,58539.98661466,44005.01168451001,134198.10717081,191161.23233191998,427904.3378019003
2025-08-01,Monthly,Bank-bank perdagangan / Commercial banks,35362.74400004999,25663.839444850015,79393.07234488998,112287.69327705997,252707.34906684997
2025-08-01,Monthly,Bank-bank Islam / Islamic banks,17501.96046353,16363.273312959993,50544.60386818,68204.98843488,152614.82607955
2025-08-01,Monthly,Bank-bank pelaburan / Investment banks,2.9013337299999997,3.8578879000000006,152.80662521000005,1546.4356374699998,1706.0014843099998
2025-08-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5591.494565009999,1877.2342100900005,4596.117113430001,11935.303346769997,24000.1492353
2025-08-01,Monthly,Jumlah / Total,58459.10036231999,43908.20485580002,134686.59995171,193974.42069618002,431028.32586600975
2025-09-01,Monthly,Bank-bank perdagangan / Commercial banks,35265.77305190998,25627.883288329973,79703.84757519996,113155.01065655003,253752.51457198992
2025-09-01,Monthly,Bank-bank Islam / Islamic banks,17503.09645835998,16431.76353286,51006.88366690001,68697.2601605,153639.00381862003
2025-09-01,Monthly,Bank-bank pelaburan / Investment banks,3.7727016499999997,4.5476198,166.77158648999998,1578.9235919399998,1754.01549988
2025-09-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5530.439388119999,1860.0555064899995,4625.23071472,11974.221336719998,23989.946946049997
2025-09-01,Monthly,Jumlah / Total,58303.081600039965,43924.24994747996,135502.73354330997,195405.41574571002,433135.4808365404
2025-10-01,Monthly,Bank-bank perdagangan / Commercial banks,35166.58202711,25539.034513690014,79698.10464780006,113016.06896697002,253419.7901555701
2025-10-01,Monthly,Bank-bank Islam / Islamic banks,17450.604624949996,16408.2709813,51195.559356179976,69695.61519677001,154750.0501592
2025-10-01,Monthly,Bank-bank pelaburan / Investment banks,2.83634078,3.8197475499999998,158.56201144000002,1542.46953112,1707.68763089
2025-10-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5511.959115080001,1850.0523650600005,4647.5572743600005,12140.54906483,24150.11781933
2025-10-01,Monthly,Jumlah / Total,58131.98210792,43801.17760760002,135699.78328978005,196394.70275969003,434027.64576499
