date,frequency,purpose,purchase_of_securities,fixed_assets_non_property_total,transport_vehicles_total,purchase_of_passenger_cars,transport_vehicles_others,fixed_assets_non_property_others,purchase_of_residential_property,purchase_of_non_residential_property,construction,working_capital,other_purposes,financing,memo_item_credit_card
2023-08-01,Monthly,Bank-bank Islam / Islamic banks,893.4723343699999,8049.529918969998,5945.699438649997,4090.1035285899984,1855.5959100599998,2103.8304803200003,1975.4883886800003,41162.53090401999,6037.96121964,59185.193703870005,4397.918310640001,121702.09478019003,59.863062549999995
2023-08-01,Monthly,Bank-bank pelaburan / Investment banks,931.4517507099999,0.37995322,0.37995322,0.0,0.37995322,0.0,40.93344105,117.68601894999999,131.1980413,78.11776786,294.30585931,1594.0728324000006,0.0
2023-08-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,41.57290076,1324.9212871200002,338.52484951000014,3.43980563,335.0850438800001,986.39643761,45.59140121,1935.21846901,4131.89161836,11082.32496425,3835.9804272299993,22397.616818859988,0.0
2023-08-01,Monthly,Jumlah / Total,5475.895847330001,30154.83790475001,24368.35798558001,16116.94201403001,8251.41597155,5786.479919169999,7188.898150780001,125014.42245564006,22543.70057506,162463.1886411999,17087.548573930002,369928.6078996096,445.84884687999994
2023-09-01,Monthly,Bank-bank perdagangan / Commercial banks,3610.553179159999,20938.333657640018,18194.475180220015,12124.084792710019,6070.390387509999,2743.85847742,5114.97911442,82346.23551728998,12447.278309999996,92166.74584717001,8499.22817571,225123.35380138946,379.43056745
2023-09-01,Monthly,Bank-bank Islam / Islamic banks,883.1015291400003,8107.934936170004,6011.665031840004,4132.161248660003,1879.5037831800005,2096.26990433,1984.55068106,42110.48515946,6406.38369341,60383.45059707999,4766.774805689998,124642.68140201003,76.03984709000002
2023-09-01,Monthly,Bank-bank pelaburan / Investment banks,942.4338873500003,0.37131142000000006,0.37131142000000006,0.0,0.37131142000000006,0.0,40.82919173,120.53029137,129.92388854,86.80481625,173.50743709000002,1494.40082375,0.0
2023-09-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,39.34791887000001,1338.5372832599996,355.6521147500002,3.2158900599999996,352.43622469000013,982.8851685099997,45.44566022,1929.29796307,4091.7253389199996,11354.06000157,3681.9491505500005,22480.47643477999,0.0
2023-09-01,Monthly,Jumlah / Total,5475.43651452,30385.177188490015,24562.163638230013,16259.461931430018,8302.701706799999,5823.01355026,7185.80464743,126506.54893118999,23075.311230869997,163991.06126206994,17121.459569040002,373740.91246192943,455.4704145400001
2023-10-01,Monthly,Bank-bank perdagangan / Commercial banks,2375.1361028,21086.678322940013,18340.439195900017,12254.757852690012,6085.6813432100025,2746.2391270400003,5080.561245150002,82806.24838084,12538.508984159995,92506.39433355004,8640.61496442,225034.14233385999,390.76705259000016
2023-10-01,Monthly,Bank-bank Islam / Islamic banks,862.2748357200003,8256.272161589999,6104.088421219999,4174.9116082499995,1929.17681297,2152.1837403699997,1983.70442467,42614.095574480016,6563.008149420001,61914.87564803998,5677.268790700002,127871.49958461996,73.74650356999999
2023-10-01,Monthly,Bank-bank pelaburan / Investment banks,959.6078729499998,0.35965985000000006,0.35965985000000006,0.0,0.35965985000000006,0.0,40.428912090000004,119.77393412,131.0368495,85.00770420999997,167.21722241999998,1503.43215514,0.0
2023-10-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,39.079342329999996,1370.4642947000004,392.49474432,3.0635341599999997,389.43121016,977.9695503800004,44.83344412,1924.9678349600001,4104.85310152,11706.106244019993,3439.9786821000007,22630.393433679976,0.0
2023-10-01,Monthly,Jumlah / Total,4236.0981538000015,30713.774439080007,24837.38202129001,16432.732995100007,8404.649026190002,5876.392417790001,7149.528026030001,127465.0857244,23337.4070846,166212.38392982,17925.07965964,377039.4675072999,464.5135561600001
2023-11-01,Monthly,Bank-bank perdagangan / Commercial banks,2484.6193971399994,21264.684324280006,18504.104096010007,12403.171787480005,6100.93230853,2760.5802282699988,5062.86752106,83141.90722282002,12634.731784429989,93223.07339354008,8558.01371074,226369.89735401003,412.0828350999999
2023-11-01,Monthly,Bank-bank Islam / Islamic banks,861.4038363799999,8369.975892879997,6173.174686349998,4210.541265659999,1962.6334206899992,2196.801206529998,1979.3187380100003,43309.42104667999,6633.354573499999,62887.85739466003,5682.444872530002,129723.77635464001,80.30361600000002
2023-11-01,Monthly,Bank-bank pelaburan / Investment banks,974.9123641599997,0.35113111999999996,0.35113111999999996,0.0,0.35113111999999996,0.0,40.3181862,124.07620198000001,136.95260322,84.63448811000004,167.08741288000002,1528.3323876699997,0.0
2023-11-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,39.009439789999995,1389.7137155700004,400.66419352,2.76107759,397.90311593,989.0495220500004,44.690849050000004,1925.3336985600001,4102.607977339999,11550.721366060006,3724.4664673400007,22776.651354869977,0.0
2023-11-01,Monthly,Jumlah / Total,4359.94503747,31024.725063850008,25078.29410700001,16616.47413073001,8461.819976269999,5946.430956849999,7127.195294319999,128500.73817004001,23507.646938489986,167746.2866423701,18132.012463490006,380398.65745119005,492.38645109999993
2023-12-01,Monthly,Bank-bank perdagangan / Commercial banks,3097.2077515599995,21294.425376549985,18531.307897509985,12458.771445839984,6072.536451670001,2763.1174790399996,5070.034246409999,83554.34179030999,12571.120472759998,94099.48129170993,8932.196830049998,228618.80775934987,419.06781868000013
