date,frequency,outstanding_total_abs,outstanding_household_abs,outstanding_business_abs,outstanding_private_non_financial_abs,credit_total_abs,credit_business_abs,outstanding_total_yoy,outstanding_household_yoy,outstanding_business_yoy,outstanding_private_non_financial_yoy,credit_total_yoy,credit_business_yoy
2025-03-01,Monthly,2312033.0422203327,1487336.3224060724,824696.7198142603,603217.99921057,2915251.0414309027,1427914.7190248303,5.520534874891458,5.959709560831916,4.73762069145971,5.310722648688881,5.477052373832048,4.9789630757316905
2025-04-01,Monthly,2313748.095154874,1492472.760778432,821275.3343764402,606299.88343688,2920047.978591754,1427575.21781332,5.447427137708627,5.961659325517887,4.5255972214892415,5.4766556064378635,5.453494615372301,4.92741419926217
2025-05-01,Monthly,2321836.704978313,1499217.992905983,822618.7120723312,604842.5628553999,2926679.2678337125,1427461.2749277311,5.529967594812324,5.987493672658606,4.706209171352005,4.672532402189344,5.351616003399795,4.6919370367278335
2025-06-01,Monthly,2333956.541651598,1506487.4002441878,827469.1414074092,605987.42650228,2939943.968153878,1433456.5679096892,5.454308846682854,6.01820067753267,4.442943258165344,4.327538883783255,5.220069718028486,4.394125431251306
2025-07-01,Monthly,2343967.580365306,1514203.7151073213,829763.865257979,609115.13150071,2953082.7118660165,1438878.9967586892,5.619918105531441,6.016630560235359,4.903573639269743,4.777147839578055,5.444976823321457,4.850017068952606
2025-08-01,Monthly,2354017.2735025813,1521663.233388469,832354.0401141108,614662.6693080801,2968679.942810661,1447016.709422191,5.64143848110048,5.87089449705176,5.224520833764479,5.627741059485314,5.638602149935723,5.395423706092739
2025-09-01,Monthly,2365097.5179317207,1527070.12425712,838027.3936746002,624957.3027105501,2990054.820642271,1462984.6963851503,5.623320205866689,5.713991785140071,5.458495979252387,7.306048191035752,5.970653588191199,6.239891109115869
2025-10-01,Monthly,2380338.2062464547,1535571.4030185188,844766.8032279311,621984.00902613,3002322.215272585,1466750.812254061,5.675405431862535,5.693877626445176,5.641844206108915,5.758629928399395,5.692636095712,5.691336343064091
2025-11-01,Monthly,2390567.1641599135,1543768.2791025322,846798.8850573814,626694.75866719,3017261.9228271036,1473493.6437245714,5.508615709720099,5.689295081918688,5.180810448363027,5.4711927095586255,5.500840650333894,5.304117915191364
2025-12-01,Monthly,2398941.830983283,1550938.1739121985,848003.6570710792,633942.50746519,3032884.3384484733,1481946.1645362694,4.992603413611141,5.606025671452897,3.8889393441075892,6.884551324527055,5.382506601426118,5.1495926324996555
2026-01-01,Monthly,2406964.476503709,1560048.6442654403,846915.8322382699,636911.17979855,3043875.656302259,1483827.01203682,4.998049120818382,5.570016632463104,3.960527550466919,7.558095896019057,5.523589774557336,5.474822063599771
2026-02-01,Monthly,2416631.1569658597,1563815.4179507992,852815.739015061,637362.43499492,3053993.59196078,1490178.174009981,5.164156325541147,5.501329936878929,4.551444917945169,7.37523671397704,5.618052891496106,5.740821776536098
2026-03-01,Monthly,2440011.4403434787,1568057.186704192,871954.25363929,638291.00491371,3078302.4452571888,1510245.2585530002,5.53531873403692,5.427209910905506,5.730292444436191,5.814316838860911,5.593048471950968,5.765788280717232
2026-04-01,Monthly,2446987.494646441,1574364.3550833531,872623.1395630909,643493.0540723299,3090480.548718771,1516116.1936354209,5.758595750789741,5.486974131588762,6.252203498311193,6.134451226448578,5.836635951756208,6.202193391793598
