date,frequency,sector,agriculture_forestry_and_fishing,mining_and_quarrying,manufacturing,electricity_gas_steam_and_air_conditioning_supply,water_supply_sewerage_waste_management_and_remediation_activities,construction,wholesale_retail_motor_trade_total,wholesale_trade_except_of_motor_vehicles_and_motorcycles,retail_trade_except_of_motor_vehicles_and_motorcycles,wholesale_retail_motor_trade_others,accommodation_and_food_service_activities,transportation_storage,information_communication,financial_and_insurance_takaful_activities,real_estate_activities,professional_scientific_and_technical_activities,administrative_and_support_service_activities,education_health_and_others,other_sector,total_outstanding_loan_financing
2022-07-01,Monthly,Bank-bank pelaburan / Investment banks,0.7587830600000001,58.40841870999999,44.13417786,0.0,13.410566339999997,35.152462160000006,18.48006079,15.755219859999997,2.72484093,0.0,52.577819410000004,2.47642588,23.262658809999998,324.3700084,236.45877244999997,498.17810505000006,8.55919622,181.53982163,43.98926065999967,1541.7565374299998
2022-07-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2906.3012809999996,69.95719944000002,2158.7116275900007,83.80322833999999,47.892988360000004,5241.638901519998,3333.972392039999,1637.8880977699994,1186.8083081599998,509.27598610999985,1510.6982309300001,837.92127838,328.97333620999996,261.02352021,710.63721758,397.75695599,340.2594555300001,1284.8270400200001,214.7931874600108,19729.16784060001
2022-07-01,Monthly,Jumlah / Total,12842.948862019999,1522.3998989200002,51916.30436139,3029.8791806199997,1879.8368365299998,45478.13013286,100329.79385820999,59389.85261527001,24729.03463822,16210.906604719974,11168.439768870003,13768.90728763,4546.317719549999,6961.287909990003,57753.39705083998,16056.271688059998,5835.5100887300005,11203.563597130003,1028.8452030193293,345321.8334443694
2022-08-01,Monthly,Bank-bank perdagangan / Commercial banks,5649.04870907,917.8992066099997,34315.07401875,1155.56022699,1229.7908116100004,27524.650470410004,67130.79885376,41164.47719889,15181.099665080004,10785.221989789992,7957.78501018,8292.63336546,2621.67511995,4708.797537269999,40484.29342932,8815.942000160003,3408.0443514999997,5610.787742699999,493.3579843592888,220316.1388380993
2022-08-01,Monthly,Bank-bank Islam / Islamic banks,4339.72900928,479.64231387,15447.28012549,1724.3757251100005,657.80690962,12739.412970869998,30485.23929204,16774.22968779,8471.186993129999,5239.822611120002,1756.4494204099997,4798.04997776,1630.2562383299999,1880.1969806399993,16470.385265460005,6645.219463590001,2209.4366805999994,4270.842790879999,268.3029765499232,105802.62614049992
2022-08-01,Monthly,Bank-bank pelaburan / Investment banks,0.65819488,58.67562078,44.91174731,0.0,13.324636029999999,33.76631832,16.144264630000002,13.443629620000001,2.7006350099999996,0.0,53.09209324000001,2.4879938399999997,24.86664738,326.94095340999996,204.39576498000005,495.74989472000004,9.45941476,182.48933402000003,43.99076248000006,1510.9536407800003
2022-08-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2866.428218010001,70.33601053999998,2174.9998792600004,84.67954481999998,49.87454658,5307.763352220001,3376.65810377,1656.8194700100003,1205.3005197299997,514.5381140299996,1527.2842957400003,841.474883,337.17303481,249.27281852999997,710.9015387600001,396.51606126999997,346.7836650299999,1287.2601628000002,214.8986042099823,19842.304719349988
2022-08-01,Monthly,Jumlah / Total,12855.864131240003,1526.5531517999998,51982.265770809994,2964.61549692,1950.7969038400001,45605.59311182001,101008.84051420001,59608.969986309996,24860.287812950006,16539.582714940014,11294.610819570002,13934.64622006,4613.97104047,7165.20828985,57869.975998520014,16353.427419740006,5973.724111889999,11351.3800304,1020.5503275990486,347472.0233387291
2022-09-01,Monthly,Bank-bank perdagangan / Commercial banks,5612.358449959997,899.7906177700002,33963.770921610005,1206.15385568,1187.9367641099996,27759.672993640004,67264.82075789003,41031.63228271003,15299.036891790009,10934.15158338999,7942.48004504,8129.341490839999,2734.52376086,5080.32399283,40046.650667220034,8830.375995970002,3509.9121902700003,5607.800154359999,477.7617403991462,220253.67439844922
2022-09-01,Monthly,Bank-bank Islam / Islamic banks,4392.383229789998,516.4506230000001,15695.43465367,1878.12730382,679.6454881499999,12807.710869780001,31018.396160370005,17046.495178119996,8645.711196420003,5326.1897858300035,1773.9113662000002,4900.354900140001,1665.6694361999998,1916.6176790999996,16589.52598896,6880.258968329999,2277.58502158,4321.9646843599985,276.23131362993445,107590.26768707995
2022-09-01,Monthly,Bank-bank pelaburan / Investment banks,0.62952763,57.45022514,44.960747,0.0,13.22440941,33.35833208,18.591566219999997,15.877537499999999,2.7140287200000004,0.0,53.799807949999995,2.48062163,24.86600472,386.91693964000007,203.34109002999998,463.01353388999996,7.071870510000001,182.68995522000003,44.01954154999953,1536.4141726199996
2022-09-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2839.501596009999,70.07565987,2190.8339175300002,101.29700032000001,52.750779040000005,5312.9383947900005,3446.01272148,1697.0736603900002,1228.45289311,520.4861679799997,1546.00058506,845.5671990600002,355.47431785,254.93088175000005,712.1822192600002,396.05994802000004,351.79933514,1278.60976661,213.51837600998624,19967.552697799983
2022-09-01,Monthly,Jumlah / Total,12844.872803389997,1543.76712578,51895.00023980998,3185.5781598199997,1933.5574407099998,45913.680590289994,101747.82120596003,59791.078658720035,25175.915010040007,16780.82753719999,11316.19180425,13877.744211669999,4780.53351963,7638.78949332,57551.699965470034,16569.70844621,6146.368417500001,11391.064560549998,1011.530971589149,349347.9089559492
2022-10-01,Monthly,Bank-bank perdagangan / Commercial banks,5588.4247309699995,847.5113288499999,34203.53421402999,1205.61682989,1203.8578588600003,27610.37252635999,67389.79833129002,41041.17809145001,15297.135569820011,11051.484670019992,7948.12508226,8275.06404891,2816.2663329,4955.229530410001,40208.109960019996,8791.38410115,3611.95953069,5610.328680440001,487.46542066926486,220753.04850769925
2022-10-01,Monthly,Bank-bank Islam / Islamic banks,4461.140604209999,511.73615429000006,15697.069156299995,1900.3087267800001,685.56877408,12853.032373820002,31564.496619510002,17336.164831879996,8727.13507778,5501.196709850006,1787.24603107,4892.26573188,1727.6388763000002,1884.61711692,16696.44717269,6942.2337266,2339.96700584,4385.27317127,263.4438961100532,108592.48513767004
