date,frequency,bank_negara_malaysia_statement_of_capital_and_liabilities,paid_up_capital,reserves,currency_in_circulation,financial_institutions,federal_government,deposits_others,bank_negara_bills_and_bonds,allocation_of_special_drawing_rights,other_liabilities,total_liabilities
2009-02-01,Monthly,,100,,48262.001611,189006.206742,7916.330747,674.623287,44788.212108,742.639517,27608.752907,345742.073569
2009-03-01,Monthly,,100,,47588.743245,173522.391386,14197.591626,321.747811,47833.423383,759.891619,26486.391896,350216.265971
2009-04-01,Monthly,,100,,47683.489164,175957.806665,8691.884849,361.727753,50530.161766,759.891619,25743.040666,349234.087487
2009-05-01,Monthly,,100,,48026.166458,169874.596283,19389.9563,1013.286698,46153.440298,759.891619,26171.220013,350894.642674
2009-06-01,Monthly,,100,,47729.749927,171579.354373,15220.119881,883.014403,47059.370563,759.721285,24282.952975,350769.483246
2009-07-01,Monthly,,100,,48090.710813,169970.538828,22165.364089,1285.752011,42655.425156,759.721285,22203.105511,350414.692894
2009-08-01,Monthly,,100,,50212.892013,166780.678816,25627.234915,1346.788438,41356.997408,6835.568348,22375.193367,357819.428506
2009-09-01,Monthly,,100,,49951.877381,164997.867921,27217.821709,1308.049262,40738.803677,7364.185571,24699.16768,363528.549522
2009-10-01,Monthly,,100,,48736.465769,166300.205987,23610.555918,1287.736332,45291.569514,7364.185571,24946.884443,364788.379855
2009-11-01,Monthly,,100,,50505.570955,168567.223143,25146.590963,1367.629426,39027.942012,7364.185571,26527.522621,365757.441012
2009-12-01,Monthly,,100,,51138.567538,181535.107207,18641.169858,1270.868081,33357.434443,7231.066765,21610.810087,362977.702692
2010-01-01,Annual,,100,,55787.812628,170732.428628,14226.35005,3663.691712,100376.801291,6396.555926,18773.907766,390171.79136
2010-01-01,Monthly,,100,,54277.970758,178274.451583,17592.62385,1264.514327,29685.995597,7231.066765,32531.512741,363329.93322
2010-02-01,Monthly,,100,,55183.975205,187580.200199,17449.847029,1459.178626,27601.100948,7231.066765,25020.108949,364024.692969
2010-03-01,Monthly,,100,,52213.425693,174666.979257,16330.588552,1327.420476,35636.310228,6656.367049,29012.95281,344041.818881
2010-04-01,Monthly,,100,,52057.158332,163209.172347,11470.52106,1293.272842,60510.385915,6656.367049,25888.106573,349287.751136
2010-05-01,Monthly,,100,,53209.995798,158016.490148,8116.623892,1398.764249,72162.267878,6656.367049,19017.428811,346856.295789
2010-06-01,Monthly,,100,,51355.022699,151185.581501,17175.371105,1335.843536,72076.452338,6469.138649,24297.214207,344275.698173
2010-07-01,Monthly,,100,,51744.690925,144611.478696,24427.693984,1363.104839,72726.453489,6469.138649,23417.624863,345144.962422
2010-08-01,Monthly,,100,,55936.008385,138580.151814,19755.457321,901.448534,79998.57997,6469.138649,24826.91,346947.612006
2010-09-01,Monthly,,100,,52614.989098,159644.546602,20862.075168,905.305075,83613.285602,6465.409831,23705.831396,362791.60995
2010-10-01,Monthly,,100,,53861.804325,150355.030128,28227.463652,899.308855,102234.205873,6465.409831,26445.275949,383482.855261
2010-11-01,Monthly,,100,,52960.30346,166095.10069,23806.458875,3202.951555,96064.420626,6465.409831,24315.755228,387772.892061
2010-12-01,Monthly,,100,,55787.812628,170732.428628,14226.35005,3663.691712,100376.801291,6396.555926,18773.907766,390171.79136
