date,frequency,m3,m2,m1,currency_in_circulation,demand_deposits,narrow_quasi_money,savings_deposits,fixed_deposits,nids,repos,fx_deposits,other_deposits,deposits_placed_other_banking_inst
2016-02-01,Monthly,1612464.26174521,1603038.2058602101,366985.32896221,80535.50083221002,286449.82813,1236052.876898,139022.148403,744947.4401410001,9501.434236,0.0,139427.678311,203154.17580700002,9426.055884999922
2016-03-01,Monthly,1613189.9577113898,1604254.2174383898,354187.04600438994,78915.76171439,275271.2842899999,1250067.171434,138981.586273,751548.4700569999,9354.656859,0.006822,136454.915225,213727.53619800002,8935.740272999974
2016-04-01,Monthly,1611143.3856797498,1601667.16179175,348627.82033975003,80001.67628975,268626.14405,1253039.341452,139180.576636,760760.170369,9181.422367000001,0.0,135169.94530300001,208747.22677699997,9476.223887999775
2016-05-01,Monthly,1620291.89768178,1608758.29626178,356464.27645778004,79859.74946178001,276604.52699600003,1252294.019804,138521.413335,761597.4608779999,8957.568981000002,0.0,138861.226029,204356.350581,11533.601419999963
2016-06-01,Monthly,1621162.4790724902,1611043.39596949,363910.68328049005,83118.66259649,280792.02068400005,1247132.712689,142166.97137999997,755876.223949,7533.630254999998,0.0,136067.51526,205488.37184499996,10119.083103000186
2016-07-01,Monthly,1607918.4765906301,1598473.0772146299,354250.9256866301,81543.70651863,272707.21916800004,1244222.151528,140105.75604700003,762432.8148459999,7876.8313370000005,0.0,132361.53705900002,201445.21223900001,9445.399376000278
2016-08-01,Monthly,1609689.42505733,1600710.6652563298,354935.38282033,81189.51785633,273745.86496399995,1245775.282436,140991.108456,766129.4779930001,6703.478520999999,0.0,128732.76544100003,203218.45202499998,8978.759801000124
2016-09-01,Monthly,1629047.9033549302,1620227.39195293,358242.86637193,82508.03517593,275734.831196,1261984.5255810001,143722.598424,773441.4736930002,7549.166483999999,0.0,127750.643702,209520.643278,8820.511402000207
2016-10-01,Monthly,1638752.0719878802,1629123.2065428798,360901.06870788,82605.35610088,278295.71260699996,1268222.137835,142724.75641799998,765195.438364,7561.929932,0.0,136027.640336,216712.37278499999,9628.865445000352
2016-11-01,Monthly,1643004.4181548902,1634216.72678089,368313.77002989,82975.69337288999,285338.076657,1265902.9567510001,144270.73979199998,761072.0322430001,9269.999645000002,0.0,137663.287012,213626.898059,8787.691374000162
