date,frequency,m3_total,net_claims_on_gov_total,claims_on_gov,gov_deposits,claims_on_private_sector_total,loans,securities,net_foreign_assets_total,bnm,banking_system,other_influences
2023-01-01,Monthly,2275666.86849354,341416.56940425996,422068.30977598997,80651.74037173,2209724.45852383,1928420.57598083,281303.882543,572130.3472261501,477555.52203595,94574.82519020006,-847604.5066606998
2023-02-01,Monthly,2291458.69199849,336468.55876413,434145.15091374004,97676.59214961002,2215205.509799701,1933220.5575337012,281984.952266,574813.9723641401,473354.67865362,101459.29371052008,-835029.348929481
2023-03-01,Monthly,2292066.47469126,335704.50813752995,427465.83014931995,91761.32201179,2228385.503583929,1942480.362925929,285905.140658,582805.4979502701,481092.74673061003,101712.75121966001,-854829.0349804689
2023-04-01,Monthly,2287421.06043557,338018.17608594004,432143.68266258005,94125.50657664,2229523.792556189,1942713.1627081889,286810.629848,580862.0850567501,476159.5008980401,104702.58415871,-860982.9932633092
2023-05-01,Monthly,2297944.7377014006,338196.20804654004,431714.55626925005,93518.34822270999,2240910.0197065803,1952255.5899495801,288654.429757,579074.4512706801,468011.06228983006,111063.38898085002,-860235.9413223999
2023-06-01,Monthly,2306319.1371254306,342419.54033159,435145.00560495,92725.46527336,2246980.5095101083,1958294.587024108,288685.922486,600646.8203709701,492035.34491713,108611.47545384002,-883727.7330872377
2023-07-01,Monthly,2300102.81751452,335413.13229425997,427014.58864171995,91601.45634746,2255788.98613551,1961388.3139825095,294400.672153,612917.60081948,499235.49805886,113682.10276061998,-904016.9017347295
2023-08-01,Monthly,2305718.4271621094,335057.63359569997,431394.91379021,96337.28019451001,2268079.0343297087,1973687.5312057089,294391.503124,603494.620344,496815.49923023005,106679.12111376997,-900912.8611072992
2023-09-01,Monthly,2319716.3363324106,339282.58959052997,438731.40128416,99448.81169363002,2282401.8865052783,1986577.3416492783,295824.544856,582149.62830402,487228.98498295,94920.64332107,-884117.7680674177
2023-10-01,Monthly,2339704.34330855,349248.08115191,441579.68899883004,92331.60784692001,2288634.8711061114,1991002.4893761112,297632.38173,575244.6746140299,479453.81569003995,95790.85892398999,-873423.2835635017
2023-11-01,Monthly,2361524.1463860003,358038.75022236,434102.93735849,76064.18713612999,2305997.6757488796,2007546.1077268794,298451.5680220001,599365.5910155401,497246.18132150004,102119.40969403999,-901877.8706007793
2023-12-01,Monthly,2402067.8938329997,369718.2802197,441495.39062443003,71777.11040473,2327861.6389970295,2027363.9155410298,300497.723456,613549.2445841001,491064.2883960701,122484.95618803005,-909061.2699678303
2024-01-01,Monthly,2412177.94835346,378974.8341966999,454782.7039328599,75807.86973616,2331729.83004638,2031465.66374638,300264.1663,618238.64128322,497367.22691064,120871.41437258,-916765.3571728407
2024-02-01,Monthly,2423051.56552009,383602.7610973699,459563.16803828,75960.40694091,2340882.585066931,2040154.480059931,300728.105007,621356.67479493,494636.82570855,126719.8490863801,-922790.4554391413
2024-03-01,Monthly,2434180.503771829,383491.42137601,465195.07660944,81703.65523343002,2349430.99545369,2052815.30470869,296615.690745,659715.4175754,508692.28716269,151023.13041271,-958457.3306332708
2024-04-01,Monthly,2425707.12272514,383708.70736723,466857.36324583,83148.6558786,2347756.603939319,2053708.025841319,294048.578098,649094.2375625501,503978.0811445701,145116.15641798,-954852.4261439597
2024-05-01,Monthly,2430427.57768419,383921.3633908501,468834.7834098401,84913.42001899,2354184.897008209,2063017.758389208,291167.138619,654280.30180629,507819.87839915,146460.42340714,-961958.9845211586
2024-06-01,Monthly,2426401.30858519,384272.4661421999,466584.0476403399,82311.58149813999,2368796.797357741,2077187.956237741,291608.84112,646701.49508637,507260.9033945,139440.59169187,-973369.4500011206
2024-07-01,Monthly,2423037.46468556,387316.58564966,468700.25308383,81383.66743417001,2370866.295029832,2078824.473360832,292041.821669,644781.4834182701,511242.05488641,133539.4285318601,-979926.8994122023
2024-08-01,Monthly,2414067.47187027,379912.1301628201,463244.7965627001,83332.66639987999,2378926.393681382,2087293.118270382,291633.275411,653322.4621933401,520431.6246669,132890.83752644,-998093.514167272
2024-09-01,Monthly,2417121.63188471,372866.4192031599,457845.70826529,84979.28906213002,2389847.42377628,2099899.44840728,289947.975369,605958.58768646,464319.30210725,141639.28557921,-951550.7987811901
