date,frequency,industry,total_loan_financing,stage_1_ecl,stage_2_ecl_not_impaired,stage_3_ecl_impaired,total_provisions,gross_impaired_ratio,net_impaired_ratio
2022-09-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7558.862202370002,6959.450792650002,347.2688690199999,252.14254069999998,177.542847,3.335720826091304,1.6304689234396004
2022-09-01,Monthly,Jumlah / Total,1999087.906116918,1770574.6259496177,192121.12780525014,36392.15236205001,35426.621332,1.8204378232040384,1.1273791605224568
2022-10-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1224265.6195744264,1076375.0635246765,124030.68164164998,23859.874408100008,22826.155274,1.948913211856269,1.205440521683169
2022-10-01,Monthly,Bank-bank Islam / Islamic Banks,779699.1385316702,707300.7727156802,59892.068982590004,12506.2968334,12436.659051999999,1.6039900796802038,1.005793257311682
2022-10-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7827.857098820001,7248.12825415,275.93207041,303.79677426,199.670248,3.8809698545186193,1.9718688061514162
2022-10-01,Monthly,Jumlah / Total,2011792.6152049168,1790923.9644945068,184198.68269464996,36669.96801576001,35462.484574,1.8227509007942593,1.1309346643144107
2022-11-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1215142.370961469,1071387.5345740488,119864.24995109992,23890.586436319987,23592.250481000003,1.9660730303904066,1.1352849165266874
2022-11-01,Monthly,Bank-bank Islam / Islamic Banks,787099.8488476197,713689.9814131696,60825.41973352004,12584.447700930008,12298.290076,1.5988375197066413,0.9960127399858819
2022-11-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7954.030052370002,7383.357843530001,269.34128364,301.3309252,202.269569,3.788405666259895,1.8840489994875504
2022-11-01,Monthly,Jumlah / Total,2010196.2498614583,1792460.8738307483,180959.01096825997,36776.36506245,36092.810126,1.829491278027437,1.0835999184137646
2022-12-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1216058.8032289213,1077352.9459445411,116644.55919484,22061.298089540018,21564.175545,1.8141637584434318,1.1139003618612713
2022-12-01,Monthly,Bank-bank Islam / Islamic Banks,800057.3252528398,727044.5729037299,60529.58078032998,12483.171568779997,12353.427537,1.5602846414580325,0.973217382387734
2022-12-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8213.495518089996,7661.774570479996,300.962871,250.75807661000007,183.41574300000002,3.053000711544949,1.381688774069783
2022-12-01,Monthly,Jumlah / Total,2024329.623999851,1812059.293418751,177475.10284616996,34795.22773493001,34101.018825,1.7188518768093952,1.0593335109461264
2023-01-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1212285.8463593987,1074989.9302527187,115223.46464703011,22072.451459650023,21614.753493,1.820729947968587,1.1124058587228165
2023-01-01,Monthly,Bank-bank Islam / Islamic Banks,800564.1217499404,726422.0087075505,61525.82625295998,12616.286789430002,12468.047383000001,1.5759245820125265,0.9812479624679614
2023-01-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8291.30833895,7749.398363460001,291.63595031999995,250.27402517000002,183.29517700000002,3.018510649209487,1.3625422452355456
2023-01-01,Monthly,Jumlah / Total,2021141.2764482892,1809161.3373237292,177040.9268503101,34939.012274250024,34266.096053,1.7286773904121957,1.0614319981794706
2023-02-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1215624.0839943488,1092816.4778439887,100723.28169354996,22084.324456809994,21508.257175,1.8167067227102307,1.0992144553125665
2023-02-01,Monthly,Bank-bank Islam / Islamic Banks,804411.7218198403,736508.7661366102,55234.85906598003,12668.096617250012,12729.081028,1.574827451369141,0.9695200955893244
2023-02-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8370.994491760002,7691.773916810002,429.28189659000003,249.93867836,184.317981,2.985770431530297,1.3322982968148502
2023-02-01,Monthly,Jumlah / Total,2028406.800305949,1837017.017897409,156387.42265611998,35002.35975242001,34421.656184,1.7256084798739844,1.0486957268280581
2023-03-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1219383.3272094305,1097161.6618370104,100408.0402672199,21813.625105199993,21239.1408,1.7889062953747832,1.0765881984720314
2023-03-01,Monthly,Bank-bank Islam / Islamic Banks,809807.7622554192,742138.0837087592,54942.56955763001,12727.10898903001,12639.670412,1.5716210170156146,0.9625270113467026
2023-03-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8456.860282079997,7829.0882654399975,377.81114097,249.96087566999995,187.147456,2.9557172204874256,1.3124855082976907
2023-03-01,Monthly,Jumlah / Total,2037647.9497469293,1847128.8338112095,155728.4209658199,34790.69496990001,34065.958668,1.707394791834425,1.0321963551863482
2023-04-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1217226.1210173697,1096502.8083772496,98802.51117965006,21920.80146047001,21248.298611,1.8008816178006752,1.0814740847928694
2023-04-01,Monthly,Bank-bank Islam / Islamic Banks,812842.2338799797,744298.2981365396,55324.06507143001,13219.870672010004,12765.32803,1.626375958457147,1.0006296033117652
2023-04-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8479.304843150001,7856.426182480001,373.19435737,249.68430329999995,181.738832,2.944631758365277,1.3513126876883714
2023-04-01,Monthly,Jumlah / Total,2038547.6597404995,1848657.5326962695,154499.77060845008,35390.35643578001,34195.365473,1.736057347822081,1.0503306710812261
2023-05-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1223121.4321222287,1099764.5404184388,101200.09379578996,22156.797908,21245.925881,1.8114961708712691,1.0816658570668956
2023-05-01,Monthly,Bank-bank Islam / Islamic Banks,817269.703395241,748348.0027654911,55399.98424968997,13521.716380059996,12904.770011,1.6544986708654164,1.0116409319115134
2023-05-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8506.258111560004,7986.254713750004,265.0258576499999,254.97754015999996,175.794777,2.9975288407188763,1.4812015598028587
2023-05-01,Monthly,Jumlah / Total,2048897.3936290299,1856098.79789768,156865.10390312993,35933.491828219994,34326.490669000006,1.7537965512550238,1.055363049320989
2023-06-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1225971.0949771206,1104137.0699723007,99523.85719155996,22310.16781326,20818.510771,1.8197955812062891,1.10227048864758
2023-06-01,Monthly,Bank-bank Islam / Islamic Banks,819009.745765351,752686.033040171,53689.33029776002,12634.382427420016,12121.357747,1.54264128024672,0.9700892176388608
2023-06-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8682.48912171,8184.4167698,250.52873544999994,247.54361646,175.31275899999997,2.8510673954204364,1.3450695145850577
2023-06-01,Monthly,Jumlah / Total,2053663.3298641818,1865007.5197822717,153463.71622476997,35192.09385714002,33115.181276999996,1.7136252736940787,1.050524873881916
2023-07-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1224059.9713825402,1098359.1370519903,102681.54603473998,23019.288295809994,21062.361922,1.8805686677108129,1.159402181437605
2023-07-01,Monthly,Bank-bank Islam / Islamic Banks,823504.7722724603,754210.7128336004,56345.78066359996,12948.27877525999,11944.120582,1.5723380375233569,0.9985025206082669
2023-07-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8792.739019770002,8182.311860980002,332.6451028100001,277.78205598,175.169089,3.1592209817148205,1.6868578671382128
2023-07-01,Monthly,Jumlah / Total,2056357.4826747705,1860752.1617465706,159359.97180114995,36245.34912704999,33181.651593,1.7625996176454928,1.0971432021904346
2023-08-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1229590.089372058,1104554.846758448,101880.37175456,23154.87085905,21159.987747,1.8831374015770581,1.1616253142894863
2023-08-01,Monthly,Bank-bank Islam / Islamic Banks,832078.8251482602,763871.8477727203,54815.09160913998,13391.885766399997,12028.016243,1.6094491725605231,1.029375148630191
2023-08-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8769.059307549995,8171.539195819994,320.83732022000004,276.68279151,176.196393,3.1552163328600296,1.6709233143121536
2023-08-01,Monthly,Jumlah / Total,2070437.9738278682,1876598.2337269883,157016.30068391995,36823.43941696,33364.200382999996,1.7785338118040825,1.1105670330111137
2023-09-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1239255.9718638507,1117541.1777532108,99230.99215187995,22483.80195876,20642.084055,1.8142984556244812,1.1222894997977155
2023-09-01,Monthly,Bank-bank Islam / Islamic Banks,838633.9115118713,771425.0086597012,54119.2425086,13089.66034357,12037.788022,1.5608312714152281,0.9798024034460612
2023-09-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8657.997994729998,8008.249786969999,372.31464407,277.43356369000014,176.546506,3.2043616071390875,1.6944216136170416
2023-09-01,Monthly,Jumlah / Total,2086547.8813704518,1896974.4361998818,153722.54930454993,35850.89586602,32856.418583,1.718191860637917,1.067332551908554
2023-10-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1238225.8020950684,1118371.5563844286,97796.78998673991,22057.455723899973,20241.463899000002,1.781375875593848,1.0990632966122833
2023-10-01,Monthly,Bank-bank Islam / Islamic Banks,845844.1238155499,779730.8307988999,52767.920074649985,13345.372941999996,12169.651423,1.5777579540069222,0.9927512963803422
2023-10-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8805.257545389997,8110.682033249998,418.98560501,275.58990713,173.70776800000002,3.1298335762397476,1.6289606358943525
2023-10-01,Monthly,Jumlah / Total,2092875.1834560086,1906213.0692165787,150983.6956663999,35678.41857302997,32584.823089999998,1.70475615818204,1.0582796620813735
2023-11-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1244760.4931544792,1122851.363986859,99883.62020025996,22025.50896736001,20452.168494,1.7694575854944463,1.085112246980749
2023-11-01,Monthly,Bank-bank Islam / Islamic Banks,855134.1307088905,787827.8439247705,54057.300211380025,13248.986572740005,12403.987173000001,1.5493460144967945,0.9732030062180301
2023-11-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8733.716413870003,8093.095394150003,368.18962003000007,272.43139969,170.943785,3.1193066820597934,1.6318044724684688
2023-11-01,Monthly,Jumlah / Total,2108628.3402772397,1918772.3033057796,154309.11003167,35546.92693979001,33027.099452,1.6857843680084632,1.0419417899778711
2023-12-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1254940.5690458599,1134509.02981047,98638.39355198,21793.145683409995,20501.195985,1.7365878688565688,1.0607008269381597
2023-12-01,Monthly,Bank-bank Islam / Islamic Banks,868083.1855549403,801006.1812878504,53901.780433769934,13175.223833319995,11725.699994999999,1.5177374763799232,1.0308531055996837
2023-12-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8718.02425951,8066.661613130002,378.2989177599998,273.06372862,161.027371,3.132174452510042,1.6858722390325032
2023-12-01,Monthly,Jumlah / Total,2131741.77886031,1943581.8727114503,152918.47290350994,35241.43324534999,32387.923350999998,1.6531755203573983,1.0510665783337787
2024-01-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1258656.23704014,1138320.69539115,98455.54672567996,21879.994923310023,20471.109926,1.738361458785847,1.0595697330857154
2024-01-01,Monthly,Bank-bank Islam / Islamic Banks,869545.1037295896,801376.3080337096,55374.48483822993,12794.310857649998,11863.184151000001,1.4713797826902333,0.9736031673657904
2024-01-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8835.148248629996,8148.928334839995,306.21025281000004,380.0096609800001,186.03245800000002,4.301112446403212,2.614253790179632
2024-01-01,Monthly,Jumlah / Total,2137036.4890183597,1947845.9317596997,154136.2418167199,35054.31544194002,32520.326535,1.6403236735579605,1.0309060669599024
2024-02-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1262049.2097561988,1144752.599965469,95564.72249400994,21731.887296719993,20303.725060999997,1.7219524507224353,1.0482729467230405
2024-02-01,Monthly,Bank-bank Islam / Islamic Banks,875858.2073617491,808203.5661771091,54426.18154638001,13228.459638260003,12071.009827,1.5103426019271577,0.9908565427242522
2024-02-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8929.753319439998,8268.73835414,288.59989274000003,372.41507256000006,185.975701,4.170496756604189,2.4883870216468957
2024-02-01,Monthly,Jumlah / Total,2146837.170437388,1961224.9044967182,150279.50393312995,35332.76200754,32560.710589,1.645805396612424,1.0307492409618852
2024-03-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1266775.8504969594,1149551.0170241094,95760.08042219005,21464.75305065999,20063.709642,1.6944397102486057,1.0350539535282532
2024-03-01,Monthly,Bank-bank Islam / Islamic Banks,884385.9366023899,816447.5077271599,54779.75099588996,13158.677879340012,11992.652582,1.4878886394205528,0.975937283229017
2024-03-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,8995.77957417,8420.37611665,198.77174788999994,376.63170962999993,180.64340299999998,4.186760097050845,2.5870136626022093
2024-03-01,Monthly,Jumlah / Total,2160157.566673519,1974418.9008679192,150738.60316597,35000.06263963,32237.005627,1.620255076740882,1.017224475176665
2024-04-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1267939.0325426508,1149720.8828567509,96576.78549265,21641.36419324998,20017.543877,1.7068142582417116,1.046699568686951
2024-04-01,Monthly,Bank-bank Islam / Islamic Banks,884837.5727084309,816311.121877161,55252.42459967,13274.02623159999,12161.559182,1.5001653005047073,0.9757354725180557
2024-04-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,9139.630663289994,8552.583629979994,249.94566467,337.10136864000003,180.899901,3.6883478234409703,2.113205389897128
2024-04-01,Monthly,Jumlah / Total,2161916.235914372,1974584.5883638917,152079.15575699,35252.49179348997,32360.002959999998,1.6306132128463386,1.022093811727333
2024-05-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1269327.89680957,1151362.31604943,96554.03235677996,21411.54840336,19827.458151,1.6868413951334003,1.0226819316583624
2024-05-01,Monthly,Bank-bank Islam / Islamic Banks,889297.8657454201,820605.6417806502,55189.65110157995,13502.572863189987,12019.871406999999,1.5183408600527752,0.9789065525785974
2024-05-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,9176.977828869998,8458.514291939999,356.1811257600001,362.28241116999993,176.43338799999998,3.9477311368268757,2.430332151217268
2024-05-01,Monthly,Jumlah / Total,2167802.74038386,1980426.4721220203,152099.8645841199,35276.403677719994,32023.762946000003,1.6272884529832026,1.0106129410200448
2024-06-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1277695.6736931792,1161290.7152776993,95336.9568267,21068.00158878,19725.151111,1.648906075410191,0.9937397162228679
2024-06-01,Monthly,Bank-bank Islam / Islamic Banks,898421.6986867293,828569.1687633792,56413.11743324002,13439.412490109991,12066.986508999998,1.4958913514394292,0.9693371260436994
2024-06-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,9154.82004564,8301.29820085,498.1175381399999,355.40430664999997,179.377056,3.8821550273864953,2.297099307154827
2024-06-01,Monthly,Jumlah / Total,2185272.1924255486,1998161.1822419283,152248.19179808002,34862.81838553999,31971.514676,1.5953535905677687,0.989103757902483
2024-07-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1276888.3399532812,1159048.2985634513,97105.21423309005,20734.827156739993,19445.716817,1.6238559400972086,0.9861424732884231
2024-07-01,Monthly,Bank-bank Islam / Islamic Banks,902436.3653985604,832136.9709943604,56763.075151250014,13536.319252949996,12113.113072,1.4999749314148805,0.9660858608004497
2024-07-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,9109.086359169996,8314.597579099995,489.68655966999995,304.80222039999995,169.722752,3.3461338314479763,1.8486567668815617
2024-07-01,Monthly,Jumlah / Total,2188433.7917110114,1999499.8671369117,154357.97594401005,34575.94863008999,31728.552641,1.5799403555662073,0.9814231993258238
2024-08-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1277501.5244881997,1161779.0660325997,94990.74810122003,20731.710354380004,19112.991158999997,1.6228325334238378,0.9783172884932528
2024-08-01,Monthly,Bank-bank Islam / Islamic Banks,908008.8771724604,837051.4433812104,57324.779544650024,13632.654246599997,12092.996705,1.5013789610793324,0.9611224955325992
2024-08-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,9146.336268800002,8514.559456100002,327.0596938499999,304.71711884999996,157.705197,3.3315757249102194,1.8094291983646154
2024-08-01,Monthly,Jumlah / Total,2194656.73792946,2007345.06886991,152642.58733972005,34669.08171983,31363.693060999998,1.5797040658184387,0.9746294586162219
2024-09-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1279969.8877767997,1165988.0370351996,93607.56969141006,20374.281050189988,18774.299864,1.59177815390473,0.959697618848304
2024-09-01,Monthly,Bank-bank Islam / Islamic Banks,914407.8568360592,842336.3087122493,58691.01570549998,13380.532418309987,11971.041142000002,1.4633002459764444,0.9510771468387376
2024-09-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,9262.89615526,8496.033897070001,462.24341533999984,304.6188428499999,162.090483,3.2885917940148772,1.7376202906391203
2024-09-01,Monthly,Jumlah / Total,2203640.640768119,2016820.379644519,152760.82881225002,34059.43231134998,30907.431488999995,1.5455983013400016,0.9593553456646297
2024-10-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1287197.3103907316,1174055.8480958915,93108.17067891007,20033.29161593,18645.556181,1.55634971066315,0.9330854969172655
2024-10-01,Monthly,Bank-bank Islam / Islamic Banks,921897.2113011095,848619.6869616595,59755.78491817003,13521.73942128,12057.250664,1.4667296153544322,0.9515127786551055
