date,frequency,lcr,hqla_stock,net_cash_outflows,cb_lcr,cb_hqla_stock,cb_net_cash_outflows,ibs_lcr,ibs_hqla_stock,ibs_net_cash_outflows,inv_banks_lcr,inv_banks_hqla_stock,inv_banks_net_cash_outflows
2021-03-01,Monthly,1.4509580887893885,674489.98718,464858.35283,1.4598929635232654,459420.40722,314694.58289,1.4138270602022331,194363.13608,137473.06269,1.6316225307301135,20706.44388,12690.70725
2021-04-01,Monthly,1.5188132819917561,684723.32108,450827.84645,1.5371378148215205,474376.15703,308610.03643,1.4585382418012054,190139.13837,130362.80635,1.7045988548394941,20208.02568,11855.00367
2021-05-01,Monthly,1.372518173406346,681652.57047,496643.74846,1.4015316847450021,468247.93,334097.28449,1.2882617607780256,192578.03589,149486.72836,1.5947186989032773,20826.60458,13059.73561
2021-06-01,Monthly,1.4910110686412075,684084.90547,458806.0544,1.4982884597967228,467980.79068,312343.58619,1.4508423945343771,195130.20841,134494.42141,1.7524920089717564,20973.90638,11968.0468
2021-07-01,Monthly,1.5215013357924034,699552.61947,459777.85429,1.550617772614525,483037.6746,311513.05185,1.4340236494621807,196445.47574,136989.00699,1.7798716923336881,20069.46913,11275.79545
2021-08-01,Monthly,1.4996543267408353,699515.07637,466450.87731,1.5163039294133025,484420.09351,319474.27169,1.4408060189846879,194305.60912,134858.96544,1.7156289039108934,20789.37374,12117.64018
2021-09-01,Monthly,1.5435621674816293,718009.80261,465164.16231,1.551460955728008,492322.65233,317328.41907,1.5042327197418772,204686.72992,136073.84498,1.785461827315619,21000.42036,11761.89826
2021-10-01,Monthly,1.5320793123929346,700134.32983,456983.08447,1.5371829766132434,480257.27962,312426.87886,1.5083604741904966,198496.2109,131597.32988,1.6498992470853797,21380.83931,12958.87573
2021-11-01,Monthly,1.4470821460298169,718125.6832,496257.71776,1.4976218920004176,488670.91536,326297.92471,1.3244811454402152,208161.83381,157164.81471,1.6641633509791467,21292.93403,12794.97834
2021-12-01,Monthly,1.533105654820042,709249.11907,462622.46626,1.5689080143190652,480582.94504,306316.8399,1.4423632263525383,208324.98155,144433.09268,1.7132983597482623,20341.19248,11872.53368
