date,frequency,initial_public_offers,rights_issues,restricted_offer_for_sale,special_issues,preference_shares,warrants,new_issues_of_shares_war_rants,straight_bonds,bonds_with_war_rants,conver_tible_bonds,islamic_bonds,asset_backed_bonds,medium_term_notes,bon_cagamas_bonds,new_issues_of_corporate_bond_and_or_sukuk,corporate_bond_and_or_sukuk,redemptions_bon_cagamas_bonds,net_issues_of_corporate_bond_and_or_sukuk,net_funds_raised_by_the_private_sector
2011-11-01,Monthly,725.6873999999999,0.0,0.0,0.0,0.0,0.0,725.6873999999999,620.0,0.0,0.0,0.0,0.0,9821.525450000001,0.0,10441.525450000001,4494.347185343,0.0,5947.178264657001,6672.865664657001
2011-12-01,Monthly,0.0,86.57797500000001,0.0,0.0,0.0,0.0,86.57797500000001,1055.702875,0.0,0.0,0.0,0.0,2474.615,0.0,3530.3178749999997,10382.64299931,220.0,-7072.325124309999,-6985.747149309999
2012-01-01,Annual,22949.92922264,4258.238566,175.45,0.0,0.0,20.894944690000003,27404.512733329997,8576.5573,0.0,33.75,11668.164877099998,40.0,100844.21272500002,0.0,121162.68490210001,57539.16290436,240.0,63383.52199774001,90788.03473107002
2012-01-01,Monthly,0.0,716.4397543000001,0.0,0.0,0.0,0.0,716.4397543000001,0.0,0.0,0.0,200.0,0.0,33738.0,0.0,33938.0,12204.81824486,0.0,21733.18175514,22449.621509440003
2012-02-01,Monthly,298.25,113.0208,0.0,0.0,0.0,0.0,411.2708,0.0,0.0,0.0,0.0,0.0,5720.850885,0.0,5720.850885,817.211,240.0,4663.639885,5074.910685
2012-03-01,Monthly,30.4,0.0,175.45,0.0,0.0,0.0,205.85,55.606,0.0,0.0,0.0,0.0,5060.1720000000005,0.0,5115.778,3027.4849,0.0,2088.2931000000003,2294.1431000000002
2012-04-01,Monthly,0.0,1107.80155616,0.0,0.0,0.0,12.0999475,1119.9015036600001,349.1689,0.0,0.0,0.0,0.0,1901.154,0.0,2250.3229,3676.15574288,0.0,-1425.83284288,-305.9313392199999
2012-05-01,Monthly,765.124824,85.1845495,0.0,0.0,0.0,0.119396,850.4287695,2100.0,0.0,0.0,1172.3208,40.0,2131.601,0.0,5443.9218,3960.2019093199992,0.0,1483.7198906800008,2334.1486601800007
2012-06-01,Monthly,9932.1,125.586266,0.0,0.0,0.0,0.0,10057.686266,1813.8893710000002,0.0,0.0,1650.0,0.0,9463.407299999999,0.0,12927.296671,2473.05370408,0.0,10454.24296692,20511.92923292
2012-07-01,Monthly,6392.589999999998,456.948024,0.0,0.0,0.0,0.0,6849.538023999999,900.0,0.0,0.0,0.0,0.0,4636.0,0.0,5536.0,4491.3794,0.0,1044.6206000000002,7894.158623999999
2012-08-01,Monthly,67.411992,63.953740499999995,0.0,0.0,0.0,0.49993869,131.86567119,1284.6814359999998,0.0,0.0,330.68,0.0,14814.3047,0.0,16429.666136,10799.241713750002,0.0,5630.424422249998,5762.290093439999
2012-09-01,Monthly,837.5,98.4003075,0.0,0.0,0.0,0.0,935.9003075,0.0,0.0,33.75,6078.464454,0.0,4536.0,0.0,10648.214454,6983.5560000000005,0.0,3664.6584540000003,4600.5587615
2012-10-01,Monthly,4554.9,805.6387923999999,0.0,0.0,0.0,0.0,5360.5387924,0.0,0.0,0.0,1376.6996231,0.0,4539.63244,0.0,5916.332063100001,2014.8251,0.0,3901.5069631000006,9262.0457555
2012-11-01,Monthly,27.0,623.6153752399999,0.0,0.0,0.0,4.6,655.21537524,1670.0,0.0,0.0,0.0,0.0,8997.1175,0.0,10667.1175,4756.54988247,0.0,5910.5676175300005,6565.78299277
2012-12-01,Monthly,44.652406639999995,61.649400400000005,0.0,0.0,0.0,3.5756625,109.87746954,403.211593,0.0,0.0,820.0,0.0,5305.9729,0.0,6529.184493,2334.6853069999997,0.0,4194.499186,4304.37665554
2013-01-01,Annual,8210.821925,7803.249116735,0.0,0.0,0.0,12.854765,16026.925806735,3181.8753960000004,0.0,0.0,7879.264809359999,0.0,72804.18112004,0.0,83865.3213254,61625.013763819996,0.0,22240.307561580004,38267.23336831501
2013-01-01,Monthly,102.0,0.0,0.0,0.0,0.0,0.0,102.0,142.5,0.0,0.0,2987.5734,0.0,8435.955100000001,0.0,11566.0285,7059.89868,0.0,4506.12982,4608.12982
2013-02-01,Monthly,283.80361500000004,51.36,0.0,0.0,0.0,0.0,335.16361500000005,610.0,0.0,0.0,0.0,0.0,5321.985000000001,0.0,5931.985000000001,2762.786,0.0,3169.1990000000005,3504.3626150000005
2013-03-01,Monthly,0.0,560.7090982599999,0.0,0.0,0.0,3.071765,563.7808632599999,4.623656,0.0,0.0,739.96819913,0.0,4358.44923839,0.0,5103.04109352,5114.7755,0.0,-11.734406479999961,552.04645678
2013-04-01,Monthly,416.955135,44.8550136,0.0,0.0,0.0,2.1622,463.9723486,0.0,0.0,0.0,0.0,0.0,4067.4858,0.0,4067.4858,3696.1573369999996,0.0,371.3284630000003,835.3008116000003
2013-05-01,Monthly,220.0,3244.4979319999998,0.0,0.0,0.0,7.6208,3472.118732,0.0,0.0,0.0,1625.0,0.0,2284.0,0.0,3909.0,6456.68651915,0.0,-2547.68651915,924.4322128499998
2013-06-01,Monthly,769.1859999999999,109.80295,0.0,0.0,0.0,0.0,878.9889499999999,0.0,0.0,0.0,184.0,0.0,3671.0814499999997,0.0,3855.0814499999997,2781.24116615,0.0,1073.8402838499997,1952.8292338499996
2013-07-01,Monthly,1556.854375,1083.1419137,0.0,0.0,0.0,0.0,2639.9962887,500.0,0.0,0.0,0.0,0.0,4533.68305,0.0,5033.68305,4360.472,0.0,673.2110499999999,3313.2073387
2013-08-01,Monthly,0.0,22.5228205,0.0,0.0,0.0,0.0,22.5228205,0.0,0.0,0.0,70.0,0.0,3816.0,0.0,3886.0,4491.7592,0.0,-605.7592000000004,-583.2363795000005
2013-09-01,Monthly,24.497200000000003,92.704837,0.0,0.0,0.0,0.0,117.202037,1029.9999990000001,0.0,0.0,314.1374,0.0,3125.0,0.0,4469.137399,887.775808,0.0,3581.3615910000003,3698.5636280000003
2013-10-01,Monthly,2032.975,50.751492,0.0,0.0,0.0,0.0,2083.726492,300.0,0.0,0.0,263.0,0.0,9177.002,0.0,9740.002,3671.73014407,0.0,6068.271855930001,8151.998347930001
2013-11-01,Monthly,2784.5506,2339.392488975,0.0,0.0,0.0,0.0,5123.943088975,100.0,0.0,0.0,0.0,0.0,5546.58385,0.0,5646.58385,2318.5179000000003,0.0,3328.0659499999997,8452.009038975
2013-12-01,Monthly,20.0,203.5105707,0.0,0.0,0.0,0.0,223.5105707,494.7517409999999,0.0,0.0,1695.58581023,0.0,18466.955631650002,0.0,20657.293182880003,18023.21350945,0.0,2634.079673430002,2857.590244130002
2014-01-01,Annual,5904.2576201599995,13252.535258090002,0.0,0.0,0.0,6.4834,19163.27627825,7575.297534,0.0,179.87,8767.711194689999,0.0,68978.92752719,0.0,85501.80625587999,54468.93218936,0.0,31032.874066519988,50196.15034476999
2014-01-01,Monthly,1874.70714816,1896.25196265,0.0,0.0,0.0,6.4834,3777.4425108100004,1600.0,0.0,0.0,3655.0,0.0,2322.4565000000002,0.0,7577.4565,1190.1559,0.0,6387.3006000000005,10164.74311081
2014-02-01,Monthly,28.44456,0.0,0.0,0.0,0.0,0.0,28.44456,50.0,0.0,0.0,958.58540235,0.0,2803.325,0.0,3811.91040235,2987.2059,0.0,824.70450235,853.14906235
2014-03-01,Monthly,0.0,405.1992882,0.0,0.0,0.0,0.0,405.1992882,0.0,0.0,0.0,0.0,0.0,9158.0,0.0,9158.0,5215.9382,0.0,3942.0618000000004,4347.261088200001
2014-04-01,Monthly,0.0,187.719353,0.0,0.0,0.0,0.0,187.719353,46.0,0.0,0.0,1500.0,0.0,5779.5,0.0,7325.5,4764.1566569999995,0.0,2561.3433430000005,2749.0626960000004
2014-05-01,Monthly,731.8484999999998,0.0,0.0,0.0,0.0,0.0,731.8484999999998,0.0,0.0,0.0,800.0,0.0,4356.25,0.0,5156.25,7678.8332,0.0,-2522.5832,-1790.7347000000002
